รายการ,สวนสัตว์,ปีงบประมาณ,ต.ค. 67,พ.ย. 67,ธ.ค. 67,ม.ค.68,ก.พ. 68,มี.ค. 68,เม.ย. 68,พ.ค. 68,มิ.ย. 68,ก.ค. 68,ส.ค. 68,ก.ย. 68,,
ผู้ใหญ่,สวนสัตว์ขอนแก่น,2568," 66,121 "," 18,633 "," 30,893 "," 29,510 "," 12,889 "," 13,521 "," 23,409 "," 14,670 "," 13,046 ", -   , -   , -   ,,
เด็ก,สวนสัตว์ขอนแก่น,2568," 27,119 "," 7,287 "," 7,482 "," 7,927 "," 4,557 "," 5,102 "," 9,568 "," 5,442 "," 3,746 ", -   , -   , -   ,,
โครงการให้บริการความรู้ อสส.,สวนสัตว์ขอนแก่น,2568," 1,770 "," 1,747 "," 6,543 "," 10,626 "," 19,894 "," 16,287 ", 189 , 104 , 966 , -   , -   , -   ,,
โครงการทัวร์สวนสัตว์,สวนสัตว์ขอนแก่น,2568, 399 , 284 , 923 ," 1,133 "," 3,249 "," 4,179 ", 36 , 44 , 120 , -   , -   , -   ,,
ผู้ใหญ่ (ชาวต่างชาติ),สวนสัตว์ขอนแก่น,2568," 1,275 ", 966 ," 1,784 "," 1,399 ", 844 , 743 , 693 , 498 , 871 , -   , -   , -   ,,
เด็ก (ชาวต่างชาติ),สวนสัตว์ขอนแก่น,2568, 380 , 256 , 462 , 345 , 192 , 212 , 161 , 107 , 268 , -   , -   , -   ,,
ผู้ใหญ่ (สวนสัตว์กลางคืน),สวนสัตว์ขอนแก่น,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
เด็ก (สวนสัตว์กลางคืน),สวนสัตว์ขอนแก่น,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
ยกเว้น,สวนสัตว์ขอนแก่น,2568," 20,234 "," 5,921 "," 15,865 "," 17,262 "," 8,558 "," 3,977 "," 6,504 "," 4,044 "," 4,851 ", -   , -   , -   ,,
ผู้ใหญ่,โครงการคชอาณาจักร จังหวัดสุรินทร์,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
เด็ก,โครงการคชอาณาจักร จังหวัดสุรินทร์,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
โครงการให้บริการความรู้ อสส.,โครงการคชอาณาจักร จังหวัดสุรินทร์,2568, 16 , 20 , 429 , 806 ," 4,206 "," 2,053 ", -   , -   , 50 , -   , -   , -   ,,
โครงการทัวร์สวนสัตว์,โครงการคชอาณาจักร จังหวัดสุรินทร์,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
ผู้ใหญ่ (ชาวต่างชาติ),โครงการคชอาณาจักร จังหวัดสุรินทร์,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
เด็ก (ชาวต่างชาติ),โครงการคชอาณาจักร จังหวัดสุรินทร์,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
ผู้ใหญ่ (สวนสัตว์กลางคืน),โครงการคชอาณาจักร จังหวัดสุรินทร์,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
เด็ก (สวนสัตว์กลางคืน),โครงการคชอาณาจักร จังหวัดสุรินทร์,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
ยกเว้น,โครงการคชอาณาจักร จังหวัดสุรินทร์,2568," 2,372 "," 1,406 "," 1,901 "," 1,619 ", 728 , 839 , 362 , 775 , 393 , -   , -   , -   ,,
